标志,ID,人物,位置,内容,跳转,bodyExpression,portraitExpression
#,0,巨噬细胞,左,新兵，走，去咽喉前线。,1,normal,normal
#,1,T细胞（玩家）,右,是！咽喉前线有什么情况？,2,normal,normal
#,2,巨噬细胞,左,那里是细菌入侵的高危区，异常情况可能从那里开始。,3,normal,normal
#,3,巨噬细胞,左,到了，这里是咽喉前线监测点，看看数据。,4,normal,normal
#,4,T细胞（玩家）,右,这些数据是什么？,5,normal,normal
#,5,巨噬细胞,左,细菌活动迹象，显示有异常。,6,normal,normal
#,6,巨噬细胞,左,细菌可能从咽喉区角落潜入，我们得仔细查。,7,normal,normal
#,7,T细胞（玩家）,右,我看到奇怪的细胞，是细菌吗？,8,normal,normal
#,8,巨噬细胞,左,让我看看……没错，是细菌踪迹，好，找到线索了。,9,normal,normal
#,9,巨噬细胞,左,这次任务是教你发现细菌踪迹，你的观察很重要。,10,normal,normal
#,10,T细胞（玩家）,右,我明白了，我会认真观察。,11,normal,normal
#,11,巨噬细胞,左,很好，我们是团队，职责都关键。,12,normal,normal
#,12,肖尧导师,左,看到你的进步！继续加油！,13,normal,normal
#,13,金枝导师,左,继续前进！保卫人体健康！,14,normal,normal
#,14,巨噬细胞,左,任务完成，你学会发现细菌踪迹了。,15,normal,normal
#,15,T细胞（玩家）,右,谢谢老师！我学到很多！,16,normal,normal
#,16,巨噬细胞,左,真好！继续努力，我们很需要你！,17,normal,normal
#,17,巨噬细胞,左,【任务完成：咽喉前线的调查】,18,normal,normal
#,18,巨噬细胞,左,【解锁知识点：咽喉前线的细菌监测与追踪】,19,normal,normal
end,19,,,,,,
